Coordinate [pointx=42772, pointy=-21149, velx=-4, vely=2]
Coordinate [pointx=42801, pointy=32075, velx=-4, vely=-3]
Coordinate [pointx=-42374, pointy=-31787, velx=4, vely=3]
Coordinate [pointx=-21048, pointy=-21141, velx=2, vely=2]
Coordinate [pointx=-21104, pointy=-42432, velx=2, vely=4]
Coordinate [pointx=-52996, pointy=53360, velx=5, vely=-5]
Coordinate [pointx=53464, pointy=-21143, velx=-5, vely=2]
Coordinate [pointx=10832, pointy=-31793, velx=-1, vely=3]
Coordinate [pointx=-53004, pointy=-10497, velx=5, vely=1]
Coordinate [pointx=32156, pointy=-31786, velx=-3, vely=3]
Coordinate [pointx=-53002, pointy=-53072, velx=5, vely=5]
Coordinate [pointx=21472, pointy=-21147, velx=-2, vely=2]
Coordinate [pointx=53422, pointy=-53078, velx=-5, vely=5]
Coordinate [pointx=10860, pointy=42716, velx=-1, vely=-4]
Coordinate [pointx=-53012, pointy=10785, velx=5, vely=-1]
Coordinate [pointx=-42331, pointy=-42437, velx=4, vely=4]
Coordinate [pointx=-31748, pointy=-42428, velx=3, vely=4]
Coordinate [pointx=32168, pointy=21427, velx=-3, vely=-2]
Coordinate [pointx=-53011, pointy=-53081, velx=5, vely=5]
Coordinate [pointx=21520, pointy=21434, velx=-2, vely=-2]
Coordinate [pointx=-53004, pointy=-53074, velx=5, vely=5]
Coordinate [pointx=53428, pointy=42717, velx=-5, vely=-4]
Coordinate [pointx=53415, pointy=-42437, velx=-5, vely=4]
Coordinate [pointx=42773, pointy=-10503, velx=-4, vely=1]
Coordinate [pointx=-10415, pointy=32071, velx=1, vely=-3]
Coordinate [pointx=-42392, pointy=10787, velx=4, vely=-1]
Coordinate [pointx=21488, pointy=10790, velx=-2, vely=-1]
Coordinate [pointx=32125, pointy=-21145, velx=-3, vely=2]
Coordinate [pointx=53456, pointy=-21141, velx=-5, vely=2]
Coordinate [pointx=-21061, pointy=-21147, velx=2, vely=2]
Coordinate [pointx=-31740, pointy=-31789, velx=3, vely=3]
Coordinate [pointx=21512, pointy=21430, velx=-2, vely=-2]
Coordinate [pointx=10860, pointy=10790, velx=-1, vely=-1]
Coordinate [pointx=10880, pointy=-31789, velx=-1, vely=3]
Coordinate [pointx=10888, pointy=-31792, velx=-1, vely=3]
Coordinate [pointx=32140, pointy=-21143, velx=-3, vely=2]
Coordinate [pointx=-21091, pointy=-42435, velx=2, vely=4]
Coordinate [pointx=-10449, pointy=21431, velx=1, vely=-2]
Coordinate [pointx=-31716, pointy=21428, velx=3, vely=-2]
Coordinate [pointx=10864, pointy=53368, velx=-1, vely=-5]
Coordinate [pointx=-10404, pointy=-21142, velx=1, vely=2]
Coordinate [pointx=21532, pointy=-42429, velx=-2, vely=4]
Coordinate [pointx=-31724, pointy=-53078, velx=3, vely=5]
Coordinate [pointx=-53016, pointy=21435, velx=5, vely=-2]
Coordinate [pointx=53444, pointy=-42430, velx=-5, vely=4]
Coordinate [pointx=-21044, pointy=10788, velx=2, vely=-1]
Coordinate [pointx=21516, pointy=32079, velx=-2, vely=-3]
Coordinate [pointx=-31724, pointy=-10505, velx=3, vely=1]
Coordinate [pointx=-53028, pointy=10792, velx=5, vely=-1]
Coordinate [pointx=10841, pointy=-10497, velx=-1, vely=1]
Coordinate [pointx=53420, pointy=32072, velx=-5, vely=-3]
Coordinate [pointx=-52999, pointy=32079, velx=5, vely=-3]
Coordinate [pointx=-53011, pointy=-53077, velx=5, vely=5]
Coordinate [pointx=-21096, pointy=21433, velx=2, vely=-2]
Coordinate [pointx=-10416, pointy=42716, velx=1, vely=-4]
Coordinate [pointx=-42359, pointy=21427, velx=4, vely=-2]
Coordinate [pointx=32148, pointy=10789, velx=-3, vely=-1]
Coordinate [pointx=-53020, pointy=21429, velx=5, vely=-2]
Coordinate [pointx=-10436, pointy=-42431, velx=1, vely=4]
Coordinate [pointx=-31732, pointy=-10501, velx=3, vely=1]
Coordinate [pointx=-21096, pointy=-21147, velx=2, vely=2]
Coordinate [pointx=10829, pointy=10783, velx=-1, vely=-1]
Coordinate [pointx=10837, pointy=-21149, velx=-1, vely=2]
Coordinate [pointx=-21083, pointy=-21140, velx=2, vely=2]
Coordinate [pointx=32116, pointy=-53074, velx=-3, vely=5]
Coordinate [pointx=-31697, pointy=21436, velx=3, vely=-2]
Coordinate [pointx=-31711, pointy=-31792, velx=3, vely=3]
Coordinate [pointx=32132, pointy=-10503, velx=-3, vely=1]
Coordinate [pointx=10888, pointy=-21147, velx=-1, vely=2]
Coordinate [pointx=-31739, pointy=-53081, velx=3, vely=5]
Coordinate [pointx=-31723, pointy=-42428, velx=3, vely=4]
Coordinate [pointx=-31724, pointy=-53074, velx=3, vely=5]
Coordinate [pointx=-42365, pointy=-31789, velx=4, vely=3]
Coordinate [pointx=10829, pointy=-42433, velx=-1, vely=4]
Coordinate [pointx=32176, pointy=42721, velx=-3, vely=-4]
Coordinate [pointx=21481, pointy=-31793, velx=-2, vely=3]
Coordinate [pointx=53430, pointy=32071, velx=-5, vely=-3]
Coordinate [pointx=32129, pointy=-31785, velx=-3, vely=3]
Coordinate [pointx=53444, pointy=10786, velx=-5, vely=-1]
Coordinate [pointx=-21064, pointy=-42435, velx=2, vely=4]
Coordinate [pointx=-21063, pointy=10788, velx=2, vely=-1]
Coordinate [pointx=-31690, pointy=-31784, velx=3, vely=3]
Coordinate [pointx=-42376, pointy=42723, velx=4, vely=-4]
Coordinate [pointx=42784, pointy=10784, velx=-4, vely=-1]
Coordinate [pointx=-21052, pointy=-21148, velx=2, vely=2]
Coordinate [pointx=42768, pointy=-42430, velx=-4, vely=4]
Coordinate [pointx=-31719, pointy=42715, velx=3, vely=-4]
Coordinate [pointx=10836, pointy=-31791, velx=-1, vely=3]
Coordinate [pointx=21496, pointy=-42432, velx=-2, vely=4]
Coordinate [pointx=42793, pointy=10792, velx=-4, vely=-1]
Coordinate [pointx=-42368, pointy=42720, velx=4, vely=-4]
Coordinate [pointx=32168, pointy=10786, velx=-3, vely=-1]
Coordinate [pointx=-21083, pointy=-42437, velx=2, vely=4]
Coordinate [pointx=-21044, pointy=10790, velx=2, vely=-1]
Coordinate [pointx=-31706, pointy=53365, velx=3, vely=-5]
Coordinate [pointx=21501, pointy=21436, velx=-2, vely=-2]
Coordinate [pointx=-31692, pointy=-10497, velx=3, vely=1]
Coordinate [pointx=-10410, pointy=-53072, velx=1, vely=5]
Coordinate [pointx=32166, pointy=21436, velx=-3, vely=-2]
Coordinate [pointx=53449, pointy=-42437, velx=-5, vely=4]
Coordinate [pointx=21485, pointy=10784, velx=-2, vely=-1]
Coordinate [pointx=-31708, pointy=10791, velx=3, vely=-1]
Coordinate [pointx=-21083, pointy=-10496, velx=2, vely=1]
Coordinate [pointx=-42356, pointy=-42428, velx=4, vely=4]
Coordinate [pointx=-21088, pointy=21432, velx=2, vely=-2]
Coordinate [pointx=-31736, pointy=32071, velx=3, vely=-3]
Coordinate [pointx=53412, pointy=-10501, velx=-5, vely=1]
Coordinate [pointx=-42360, pointy=-21147, velx=4, vely=2]
Coordinate [pointx=42763, pointy=-21145, velx=-4, vely=2]
Coordinate [pointx=21500, pointy=10783, velx=-2, vely=-1]
Coordinate [pointx=-53011, pointy=-53072, velx=5, vely=5]
Coordinate [pointx=-10400, pointy=10786, velx=1, vely=-1]
Coordinate [pointx=-31712, pointy=53368, velx=3, vely=-5]
Coordinate [pointx=10868, pointy=53359, velx=-1, vely=-5]
Coordinate [pointx=10847, pointy=-10498, velx=-1, vely=1]
Coordinate [pointx=10879, pointy=-10496, velx=-1, vely=1]
Coordinate [pointx=-31746, pointy=32071, velx=3, vely=-3]
Coordinate [pointx=-42384, pointy=-31785, velx=4, vely=3]
Coordinate [pointx=-10439, pointy=42715, velx=1, vely=-4]
Coordinate [pointx=10856, pointy=-53077, velx=-1, vely=5]
Coordinate [pointx=53456, pointy=-21145, velx=-5, vely=2]
Coordinate [pointx=-21061, pointy=-10498, velx=2, vely=1]
Coordinate [pointx=32121, pointy=42724, velx=-3, vely=-4]
Coordinate [pointx=-21100, pointy=10787, velx=2, vely=-1]
Coordinate [pointx=32176, pointy=32076, velx=-3, vely=-3]
Coordinate [pointx=10836, pointy=32072, velx=-1, vely=-3]
Coordinate [pointx=-42379, pointy=32074, velx=4, vely=-3]
Coordinate [pointx=42765, pointy=21427, velx=-4, vely=-2]
Coordinate [pointx=21493, pointy=-10496, velx=-2, vely=1]
Coordinate [pointx=32148, pointy=-42432, velx=-3, vely=4]
Coordinate [pointx=32126, pointy=10783, velx=-3, vely=-1]
Coordinate [pointx=-31747, pointy=10792, velx=3, vely=-1]
Coordinate [pointx=53444, pointy=-42428, velx=-5, vely=4]
Coordinate [pointx=32125, pointy=-42433, velx=-3, vely=4]
Coordinate [pointx=-42373, pointy=-21142, velx=4, vely=2]
Coordinate [pointx=10832, pointy=53368, velx=-1, vely=-5]
Coordinate [pointx=32140, pointy=32080, velx=-3, vely=-3]
Coordinate [pointx=42812, pointy=-31789, velx=-4, vely=3]
Coordinate [pointx=-31724, pointy=42724, velx=3, vely=-4]
Coordinate [pointx=-21101, pointy=42715, velx=2, vely=-4]
Coordinate [pointx=-42364, pointy=21436, velx=4, vely=-2]
Coordinate [pointx=-21096, pointy=-10499, velx=2, vely=1]
Coordinate [pointx=-31732, pointy=-10505, velx=3, vely=1]
Coordinate [pointx=-42387, pointy=32071, velx=4, vely=-3]
Coordinate [pointx=-21093, pointy=-53076, velx=2, vely=5]
Coordinate [pointx=-21077, pointy=-21145, velx=2, vely=2]
Coordinate [pointx=32148, pointy=53361, velx=-3, vely=-5]
Coordinate [pointx=-42392, pointy=10784, velx=4, vely=-1]
Coordinate [pointx=32116, pointy=21432, velx=-3, vely=-2]
Coordinate [pointx=-31713, pointy=-42428, velx=3, vely=4]
Coordinate [pointx=32159, pointy=32078, velx=-3, vely=-3]
Coordinate [pointx=10844, pointy=21428, velx=-1, vely=-2]
Coordinate [pointx=32116, pointy=-21147, velx=-3, vely=2]
Coordinate [pointx=53456, pointy=-10503, velx=-5, vely=1]
Coordinate [pointx=-21072, pointy=-42434, velx=2, vely=4]
Coordinate [pointx=10872, pointy=53367, velx=-1, vely=-5]
Coordinate [pointx=-42376, pointy=-31789, velx=4, vely=3]
Coordinate [pointx=-31748, pointy=10787, velx=3, vely=-1]
Coordinate [pointx=-31732, pointy=-53081, velx=3, vely=5]
Coordinate [pointx=21497, pointy=10787, velx=-2, vely=-1]
Coordinate [pointx=32144, pointy=10783, velx=-3, vely=-1]
Coordinate [pointx=-10408, pointy=42717, velx=1, vely=-4]
Coordinate [pointx=21490, pointy=-42431, velx=-2, vely=4]
Coordinate [pointx=10884, pointy=-42430, velx=-1, vely=4]
Coordinate [pointx=53404, pointy=-42429, velx=-5, vely=4]
Coordinate [pointx=-31696, pointy=10783, velx=3, vely=-1]
Coordinate [pointx=53454, pointy=-31784, velx=-5, vely=3]
Coordinate [pointx=-21091, pointy=-42429, velx=2, vely=4]
Coordinate [pointx=53431, pointy=-42428, velx=-5, vely=4]
Coordinate [pointx=42760, pointy=42723, velx=-4, vely=-4]
Coordinate [pointx=-52977, pointy=10792, velx=5, vely=-1]
Coordinate [pointx=-21059, pointy=-53072, velx=2, vely=5]
Coordinate [pointx=21523, pointy=10783, velx=-2, vely=-1]
Coordinate [pointx=-10400, pointy=-53078, velx=1, vely=5]
Coordinate [pointx=10832, pointy=10792, velx=-1, vely=-1]
Coordinate [pointx=42763, pointy=10792, velx=-4, vely=-1]
Coordinate [pointx=10868, pointy=21427, velx=-1, vely=-2]
Coordinate [pointx=-42366, pointy=-53077, velx=4, vely=5]
Coordinate [pointx=10880, pointy=53367, velx=-1, vely=-5]
Coordinate [pointx=-10460, pointy=21427, velx=1, vely=-2]
Coordinate [pointx=-21078, pointy=-42428, velx=2, vely=4]
Coordinate [pointx=42813, pointy=10783, velx=-4, vely=-1]
Coordinate [pointx=42801, pointy=-10500, velx=-4, vely=1]
Coordinate [pointx=-42367, pointy=-31793, velx=4, vely=3]
Coordinate [pointx=-42384, pointy=32076, velx=4, vely=-3]
Coordinate [pointx=21488, pointy=21434, velx=-2, vely=-2]
Coordinate [pointx=-10420, pointy=42722, velx=1, vely=-4]
Coordinate [pointx=21490, pointy=42718, velx=-2, vely=-4]
Coordinate [pointx=42795, pointy=42724, velx=-4, vely=-4]
Coordinate [pointx=-53020, pointy=10786, velx=5, vely=-1]
Coordinate [pointx=21472, pointy=-42437, velx=-2, vely=4]
Coordinate [pointx=53428, pointy=10791, velx=-5, vely=-1]
Coordinate [pointx=32127, pointy=-31793, velx=-3, vely=3]
Coordinate [pointx=53433, pointy=-10505, velx=-5, vely=1]
Coordinate [pointx=-10444, pointy=-21144, velx=1, vely=2]
Coordinate [pointx=21516, pointy=-10504, velx=-2, vely=1]
Coordinate [pointx=32148, pointy=42718, velx=-3, vely=-4]
Coordinate [pointx=21512, pointy=42719, velx=-2, vely=-4]
Coordinate [pointx=-31736, pointy=21431, velx=3, vely=-2]
Coordinate [pointx=-21092, pointy=-10505, velx=2, vely=1]
Coordinate [pointx=32126, pointy=-31789, velx=-3, vely=3]
Coordinate [pointx=42820, pointy=-53079, velx=-4, vely=5]
Coordinate [pointx=-52994, pointy=-42431, velx=5, vely=4]
Coordinate [pointx=53404, pointy=-31791, velx=-5, vely=3]
Coordinate [pointx=-42349, pointy=-10503, velx=4, vely=1]
Coordinate [pointx=32129, pointy=-42428, velx=-3, vely=4]
Coordinate [pointx=42776, pointy=-42432, velx=-4, vely=4]
Coordinate [pointx=10887, pointy=-31793, velx=-1, vely=3]
Coordinate [pointx=-10420, pointy=-53072, velx=1, vely=5]
Coordinate [pointx=-53028, pointy=-21148, velx=5, vely=2]
Coordinate [pointx=21492, pointy=-53080, velx=-2, vely=5]
Coordinate [pointx=21531, pointy=-10505, velx=-2, vely=1]
Coordinate [pointx=53416, pointy=32077, velx=-5, vely=-3]
Coordinate [pointx=32156, pointy=-10500, velx=-3, vely=1]
Coordinate [pointx=10880, pointy=21434, velx=-1, vely=-2]
Coordinate [pointx=21491, pointy=32078, velx=-2, vely=-3]
Coordinate [pointx=-42359, pointy=53359, velx=4, vely=-5]
Coordinate [pointx=-52988, pointy=42723, velx=5, vely=-4]
Coordinate [pointx=10840, pointy=-31789, velx=-1, vely=3]
Coordinate [pointx=10870, pointy=-53078, velx=-1, vely=5]
Coordinate [pointx=-42375, pointy=53364, velx=4, vely=-5]
Coordinate [pointx=21516, pointy=21428, velx=-2, vely=-2]
Coordinate [pointx=-31724, pointy=32075, velx=3, vely=-3]
Coordinate [pointx=-42357, pointy=-31793, velx=4, vely=3]
Coordinate [pointx=32120, pointy=-21140, velx=-3, vely=2]
Coordinate [pointx=10855, pointy=10783, velx=-1, vely=-1]
Coordinate [pointx=10852, pointy=21428, velx=-1, vely=-2]
Coordinate [pointx=21496, pointy=-31784, velx=-2, vely=3]
Coordinate [pointx=-21096, pointy=-10505, velx=2, vely=1]
Coordinate [pointx=-42384, pointy=-10500, velx=4, vely=1]
Coordinate [pointx=-42391, pointy=-31793, velx=4, vely=3]
Coordinate [pointx=10869, pointy=-42432, velx=-1, vely=4]
Coordinate [pointx=42820, pointy=-10500, velx=-4, vely=1]
Coordinate [pointx=42796, pointy=10783, velx=-4, vely=-1]
